TIME("u load","done") = 0.021 secs
TIME("stout smear","done") = 0.135 secs
TIME("APE smearing","done") = 3.208 secs
TIME("heavy stout smear","done") = 0.501 secs
TIME("set up mg solver","done") = 22.861 secs
TIME("light forward inversion","done") = 11.466 secs
TIME("writing propagator","done") = 0.242 secs
TIME("wuppertal smearing","done") = 2.431 secs
TIME("contract B-B","done") = 29.821 secs
TIME("seq_source_mom","done") = 7.463 secs
TIME("light sequential inversion","done") = 13.092 secs
TIME("writing propagator","done") = 0.374 secs
TIME("seq_source_mom","done") = 7.348 secs
TIME("light sequential inversion","done") = 13.172 secs
TIME("writing propagator","done") = 0.249 secs
TIME("contract B-M-B","done") = 33.562 secs
TIME("light forward inversion","done") = 12.316 secs
TIME("writing propagator","done") = 0.335 secs
TIME("wuppertal smearing","done") = 2.501 secs
TIME("contract B-B","done") = 25.799 secs
TIME("seq_source_mom","done") = 5.514 secs
TIME("light sequential inversion","done") = 10.760 secs
TIME("writing propagator","done") = 0.230 secs
TIME("seq_source_mom","done") = 9.008 secs
TIME("light sequential inversion","done") = 12.577 secs
TIME("writing propagator","done") = 0.238 secs
TIME("contract B-M-B","done") = 26.829 secs
TIME("light forward inversion","done") = 9.963 secs
TIME("writing propagator","done") = 0.158 secs
TIME("wuppertal smearing","done") = 2.017 secs
TIME("contract B-B","done") = 25.228 secs
TIME("seq_source_mom","done") = 4.940 secs
TIME("light sequential inversion","done") = 10.934 secs
TIME("writing propagator","done") = 0.230 secs
TIME("seq_source_mom","done") = 5.603 secs
TIME("light sequential inversion","done") = 11.076 secs
TIME("writing propagator","done") = 0.212 secs
TIME("contract B-M-B","done") = 29.209 secs
TIME("light forward inversion","done") = 14.462 secs
TIME("writing propagator","done") = 0.216 secs
TIME("wuppertal smearing","done") = 2.592 secs
TIME("contract B-B","done") = 25.200 secs
TIME("seq_source_mom","done") = 4.764 secs
TIME("light sequential inversion","done") = 11.642 secs
TIME("writing propagator","done") = 0.169 secs
TIME("seq_source_mom","done") = 5.844 secs
TIME("light sequential inversion","done") = 10.479 secs
TIME("writing propagator","done") = 0.215 secs
TIME("contract B-M-B","done") = 25.517 secs
TIME("light forward inversion","done") = 10.853 secs
TIME("writing propagator","done") = 0.229 secs
TIME("wuppertal smearing","done") = 2.499 secs
TIME("contract B-B","done") = 25.378 secs
TIME("seq_source_mom","done") = 5.379 secs
TIME("light sequential inversion","done") = 10.649 secs
TIME("writing propagator","done") = 0.225 secs
TIME("seq_source_mom","done") = 5.686 secs
TIME("light sequential inversion","done") = 11.198 secs
TIME("writing propagator","done") = 0.171 secs
TIME("contract B-M-B","done") = 23.867 secs
TIME("light forward inversion","done") = 10.382 secs
TIME("writing propagator","done") = 0.216 secs
TIME("wuppertal smearing","done") = 2.162 secs
TIME("contract B-B","done") = 23.973 secs
TIME("seq_source_mom","done") = 4.896 secs
TIME("light sequential inversion","done") = 10.488 secs
TIME("writing propagator","done") = 0.225 secs
TIME("seq_source_mom","done") = 6.413 secs
TIME("light sequential inversion","done") = 11.121 secs
TIME("writing propagator","done") = 0.213 secs
TIME("contract B-M-B","done") = 24.165 secs
TIME("light forward inversion","done") = 10.511 secs
TIME("writing propagator","done") = 0.203 secs
TIME("wuppertal smearing","done") = 2.336 secs
TIME("contract B-B","done") = 24.194 secs
TIME("seq_source_mom","done") = 4.927 secs
TIME("light sequential inversion","done") = 11.326 secs
TIME("writing propagator","done") = 0.159 secs
TIME("seq_source_mom","done") = 6.166 secs
TIME("light sequential inversion","done") = 10.650 secs
TIME("writing propagator","done") = 0.220 secs
TIME("contract B-M-B","done") = 25.218 secs
TIME("light forward inversion","done") = 11.223 secs
TIME("writing propagator","done") = 0.199 secs
TIME("wuppertal smearing","done") = 1.911 secs
TIME("contract B-B","done") = 24.389 secs
TIME("seq_source_mom","done") = 5.028 secs
TIME("light sequential inversion","done") = 11.040 secs
TIME("writing propagator","done") = 0.210 secs
TIME("seq_source_mom","done") = 6.302 secs
TIME("light sequential inversion","done") = 10.483 secs
TIME("writing propagator","done") = 0.225 secs
TIME("contract B-M-B","done") = 25.061 secs
TIME("writing propagator","done") = 0.065 secs
TIME("light stochastic propagator","done") = 1.010 secs
TIME("light stochastic propagator","done") = 0.694 secs
TIME("light stochastic propagator","done") = 1.095 secs
TIME("light stochastic propagator","done") = 0.654 secs
TIME("light stochastic propagator","done") = 1.019 secs
TIME("light stochastic propagator","done") = 1.026 secs
TIME("light stochastic propagator","done") = 1.115 secs
TIME("light stochastic propagator","done") = 0.860 secs
TIME("light stochastic propagator","done") = 1.088 secs
TIME("light stochastic propagator","done") = 0.740 secs
TIME("light stochastic propagator","done") = 0.996 secs
TIME("light stochastic propagator","done") = 0.818 secs
TIME("light stochastic propagator","done") = 1.074 secs
TIME("light stochastic propagator","done") = 0.778 secs
TIME("light stochastic propagator","done") = 0.969 secs
TIME("light stochastic propagator","done") = 0.870 secs
TIME("writing propagator","done") = 0.020 secs
TIME("w_eta_xi","done") = 0.363 secs
TIME("mxm_mxm_2pt eta_xi","done") = 0.363 secs
TIME("contract MB-MB","done") = 34.786 secs
TIME("w_eta_xi","done") = 0.346 secs
TIME("mxm_mxm_2pt eta_xi","done") = 0.346 secs
TIME("contract MB-MB","done") = 34.567 secs
TIME("w_eta_xi","done") = 0.369 secs
TIME("mxm_mxm_2pt eta_xi","done") = 0.369 secs
TIME("contract MB-MB","done") = 34.769 secs
TIME("w_eta_xi","done") = 0.320 secs
TIME("mxm_mxm_2pt eta_xi","done") = 0.321 secs
TIME("contract MB-MB","done") = 34.918 secs
TIME("w_eta_xi","done") = 0.293 secs
TIME("mxm_mxm_2pt eta_xi","done") = 0.293 secs
TIME("contract MB-MB","done") = 33.908 secs
TIME("w_eta_xi","done") = 0.345 secs
TIME("mxm_mxm_2pt eta_xi","done") = 0.345 secs
TIME("contract MB-MB","done") = 33.811 secs
TIME("w_eta_xi","done") = 0.368 secs
TIME("mxm_mxm_2pt eta_xi","done") = 0.368 secs
TIME("contract MB-MB","done") = 33.699 secs
TIME("w_eta_xi","done") = 0.320 secs
